game_id,game_date,home_team_id,away_team_id,home_team,away_team,home_score,away_score
2025020518,,25,26,DAL,LAK,4,1
2025020519,,6,68,BOS,UTA,4,1
2025020520,,10,16,TOR,CHI,3,2
2025020521,,8,4,MTL,PHI,1,4
2025020522,,17,2,DET,NYI,3,2
2025020523,,3,23,NYR,VAN,0,3
2025020524,,5,22,PIT,EDM,4,6
2025020525,,29,24,CBJ,ANA,4,3
2025020526,,30,15,MIN,WSH,5,0
2025020527,,28,20,SJS,CGY,6,3
2025020528,,55,21,SEA,COL,3,5
2025020529,,13,26,FLA,LAK,3,2
2025020530,,17,68,DET,UTA,1,4
2025020531,,19,52,STL,WPG,1,0
2025020532,,18,12,NSH,CAR,1,4
2025020533,,54,1,VGK,NJD,1,2
2025020534,,6,22,BOS,EDM,1,3
2025020535,,7,4,BUF,PHI,5,3
2025020536,,8,16,MTL,CHI,4,1
2025020537,,9,5,OTT,PIT,4,0
2025020538,,14,26,TBL,LAK,1,2
2025020539,,15,10,WSH,TOR,4,0
2025020540,,29,30,CBJ,MIN,2,5
2025020541,,19,3,STL,NYR,1,2
2025020542,,20,55,CGY,SEA,4,2
2025020543,,28,25,SJS,DAL,3,5
2025020544,,13,12,FLA,CAR,4,3
2025020545,,2,23,NYI,VAN,1,4
2025020546,,21,52,COL,WPG,3,2
2025020547,,68,1,UTA,NJD,1,2
2025020548,,24,25,ANA,DAL,3,8
2025020549,,3,4,NYR,PHI,5,4
2025020550,,15,17,WSH,DET,2,5
2025020551,,9,16,OTT,CHI,6,4
2025020552,,30,22,MIN,EDM,5,2
2025020553,,7,2,BUF,NYI,3,2
2025020554,,13,19,FLA,STL,2,6
2025020555,,6,23,BOS,VAN,4,5
2025020556,,8,5,MTL,PIT,4,0
2025020557,,14,12,TBL,CAR,6,4
2025020558,,18,10,NSH,TOR,5,3
2025020559,,20,54,CGY,VGK,6,3
2025020560,,24,29,ANA,CBJ,4,3
2025020561,,28,55,SJS,SEA,2,4
2025020562,,17,15,DET,WSH,3,2
2025020563,,30,21,MIN,COL,1,5
2025020564,,6,9,BOS,OTT,2,6
2025020565,,1,7,NJD,BUF,1,3
2025020566,,5,8,PIT,MTL,4,3
2025020567,,18,3,NSH,NYR,2,1
2025020568,,25,10,DAL,TOR,5,1
2025020569,,68,52,UTA,WPG,4,3
2025020570,,22,54,EDM,VGK,4,3
2025020571,,14,19,TBL,STL,4,1
2025020572,,4,23,PHI,VAN,5,2
2025020573,,24,55,ANA,SEA,1,3
2025020574,,26,29,LAK,CBJ,1,3
2025020575,,10,5,TOR,PIT,6,3
2025020576,,15,3,WSH,NYR,3,7
2025020577,,6,8,BOS,MTL,2,6
2025020578,,9,7,OTT,BUF,2,3
2025020579,,17,25,DET,DAL,4,3
2025020580,,2,1,NYI,NJD,2,1
2025020581,,12,13,CAR,FLA,2,5
2025020582,,30,18,MIN,NSH,2,3
2025020583,,16,4,CHI,PHI,1,3
2025020584,,21,68,COL,UTA,1,0
2025020585,,22,20,EDM,CGY,5,1
2025020586,,54,28,VGK,SJS,7,2
2025020587,,26,55,LAK,SEA,2,3
2025020588,,2,3,NYI,NYR,2,0
2025020589,,7,6,BUF,BOS,4,1
2025020590,,10,9,TOR,OTT,7,5
2025020591,,13,14,FLA,TBL,2,4
2025020592,,1,15,NJD,WSH,3,4
2025020593,,12,17,CAR,DET,5,2
2025020594,,52,30,WPG,MIN,3,4
2025020595,,19,18,STL,NSH,3,2
2025020596,,25,16,DAL,CHI,3,4
2025020597,,26,24,LAK,ANA,6,1
2025020598,,20,22,CGY,EDM,3,2
2025020599,,23,28,VAN,SJS,3,6
2025020600,,54,21,VGK,COL,5,6
2025020601,,17,10,DET,TOR,3,2
2025020602,,14,8,TBL,MTL,5,4
2025020603,,29,2,CBJ,NYI,4,2
2025020604,,16,5,CHI,PIT,3,7
2025020605,,55,4,SEA,PHI,4,1
2025020606,,9,29,OTT,CBJ,1,4
2025020607,,13,15,FLA,WSH,5,3
2025020608,,12,3,CAR,NYR,3,2
2025020609,,52,22,WPG,EDM,1,3
2025020610,,19,7,STL,BUF,2,4
2025020611,,21,26,COL,LAK,5,2
2025020612,,68,18,UTA,NSH,3,4
2025020613,,20,6,CGY,BOS,2,1
2025020614,,54,30,VGK,MIN,2,5
2025020615,,24,28,ANA,SJS,4,5
2025020616,,55,23,SEA,VAN,2,3
2025020617,,10,1,TOR,NJD,4,0
2025020618,,13,8,FLA,MTL,2,3
2025020619,,5,12,PIT,CAR,5,1
2025020620,,16,2,CHI,NYI,2,3
2025020621,,23,4,VAN,PHI,3,6
2025020622,,15,3,WSH,NYR,6,3
2025020623,,54,18,VGK,NSH,2,4
2025020624,,24,14,ANA,TBL,3,4
2025020625,,28,30,SJS,MIN,4,3
2025020626,,17,52,DET,WPG,2,1
2025020627,,29,1,CBJ,NJD,2,3
2025020628,,25,7,DAL,BUF,1,4
